Name|period|AB|spt|mass|mass_unc|radius|radius_unc|teff|teff_unc|logg|logg_unc|Lbol|Lbol_unc|Vmag|Vmag_unc|
EY Cep|7.97|A|F0V|1.520|0.012|1.463|0.011|7090|150|4.2895|0.0059|0.686|0.037|2.98|0.11|
BD+80 112|9.80|B|F0V|1.496|0.016|1.470|0.011|6970|150|4.2781|0.0061|0.661|0.038|3.05|0.11|
HD 71636|5.01|A|F2V|1.5142|0.0068|1.571|0.026|6950|140|4.226|0.014|0.713|0.038|2.92|0.11|
BD+37 1868|7.88|B|F5V|1.2876|0.0059|1.363|0.026|6440|140|4.279|0.016|0.458|0.041|3.59|0.12|
RZ Cha|2.83|A|F5V|1.493|0.022|2.256|0.016|6450|150|3.9054|0.0055|0.898|0.041|2.48|0.12|
HD 93486|8.10|B|F5V|1.493|0.022|2.256|0.016|6450|150|3.9054|0.0055|0.898|0.041|2.48|0.12|
GX Gem|4.04|A|F7V|1.488|0.011|2.326|0.012|6195|100|3.8774|0.0042|0.855|0.028|2.62|0.10|
HD 263139|11.33|B|F7V|1.467|0.010|2.236|0.012|6165|100|3.9057|0.0044|0.812|0.029|2.73|0.10|
BW Aqr|6.72|A|F7V|1.479|0.019|2.062|0.044|6350|100|3.979|0.018|0.793|0.033|2.75|0.10|
BD-16 6074|10.33|B|F8V|1.377|0.021|1.786|0.043|6450|100|4.073|0.021|0.695|0.034|2.99|0.10|
DM Vir|4.67|A|F7V|1.4544|0.0078|1.764|0.017|6500|100|4.1076|0.0083|0.698|0.028|2.98|0.09|
HD 123423|8.73|B|F7V|1.4480|0.0078|1.764|0.017|6500|300|4.1057|0.0083|0.698|0.081|2.98|0.23|
V570 Per|1.90|A|F3V|1.4466|0.0086|1.521|0.034|6842|50|4.234|0.019|0.658|0.023|3.06|0.08|
HD 19457|7.96|B|F5V|1.3471|0.0081|1.386|0.019|6562|50|4.284|0.012|0.505|0.018|3.46|0.07|
CD Tau|3.43|A|F6V|1.442|0.016|1.798|0.015|6200|50|4.0874|0.0069|0.632|0.016|3.17|0.07|
HD 34335|6.74|B|F6V|1.368|0.016|1.584|0.018|6200|50|4.1743|0.0099|0.522|0.017|3.45|0.07|
AD Boo|2.07|A|F4V|1.4136|0.0088|1.613|0.014|6575|120|4.1731|0.0077|0.640|0.033|3.12|0.10|
BD+25 2800|9.38|B|F8V|1.2088|0.0056|1.2165|0.0097|6145|120|4.3503|0.0068|0.278|0.035|4.06|0.11|
V1143 Cyg|7.64|A|F5V|1.388|0.016|1.347|0.023|6450|100|4.322|0.015|0.450|0.031|3.60|0.10|
HD 185912|5.86|B|F5V|1.344|0.013|1.324|0.023|6400|100|4.323|0.015|0.422|0.031|3.68|0.10|
IT Cas|3.90|A|F5V|1.3315|0.0093|1.594|0.018|6470|100|4.1574|0.0096|0.602|0.029|3.22|0.09|
TYC 3650-959-1|11.15|B|F5V|1.3290|0.0078|1.562|0.018|6470|100|4.1740|0.0097|0.584|0.029|3.27|0.09|
V1061 Cyg|2.35|A|F9V|1.282|0.016|1.616|0.017|6180|100|4.1293|0.0092|0.534|0.030|3.42|0.10|
HD 235444|9.24|B|G8V|0.9315|0.0074|0.967|0.011|5300|150|4.4368|0.0096|-0.179|0.050|5.37|0.18|
VZ Hya|2.90|A|F3V|1.2713|0.0087|1.3141|0.0053|6645|150|4.3051|0.0033|0.480|0.039|3.51|0.12|
HD 72257|8.95|B|F6V|1.1459|0.0059|1.1129|0.0072|6290|150|4.4043|0.0055|0.241|0.042|4.14|0.13|
V505 Per|4.22|A|F5V|1.2719|0.0072|1.287|0.024|6510|50|4.323|0.016|0.427|0.021|3.66|0.07|
HD 14384|6.88|B|F5V|1.2540|0.0072|1.266|0.024|6460|50|4.331|0.017|0.399|0.021|3.73|0.07|
HS Hya|1.57|A|F4V|1.2552|0.0077|1.2753|0.0073|6500|50|4.3256|0.0049|0.416|0.014|3.69|0.06|
HD 90242|8.08|B|F5V|1.2186|0.0069|1.2169|0.0073|6400|50|4.3535|0.0051|0.348|0.015|3.86|0.06|
RT And|0.63|A|F8V|1.240|0.030|1.256|0.015|6100|150|4.3340|0.0095|0.292|0.044|4.03|0.14|
BD+52 3383a|9.03|B|K3V|0.907|0.017|0.906|0.011|4880|100|4.4813|0.0097|-0.379|0.037|6.04|0.15|
UX Men|4.18|A|F8V|1.2350|0.0058|1.348|0.013|6200|100|4.2703|0.0086|0.382|0.029|3.80|0.10|
HD 37513|8.22|B|F8V|1.1957|0.0072|1.275|0.013|6150|100|4.3049|0.0091|0.320|0.030|3.96|0.10|
AI Phe|24.59|A|K0IV|1.2336|0.0045|2.932|0.048|5010|120|3.595|0.014|0.687|0.044|3.29|0.17|
HD 6980|8.61|B|F7V|1.1934|0.0041|1.818|0.024|6310|150|3.996|0.011|0.672|0.043|3.06|0.13|
